[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:31] 46 82 bd 82 c5 cb 88 de 69 68 8c 69 68 8c 69 68 8c 69 68 8c 
[08:50:31] 46 82 cb 82 cf cb 88 df 69 68 8c 69 68 8c 69 69 8c 6a 6a 8b 
[08:50:31] 46 82 d2 82 d4 cb 88 e0 6b 6a 8b 6c 6a 8a 6e 6b 8a 6f 6b 8a 
[08:50:32] 46 82 d4 82 d5 cb 88 e1 70 6b 8a 70 6b 8a 6f 6b 8a 6e 6b 8a 
[08:50:32] 46 82 d6 82 dc cb 88 e2 6c 6a 8a 6b 69 8b 6a 69 8b 69 68 8c 
[08:50:32] 46 82 ef 82 f1 cb 88 e3 69 67 8c 69 67 8c 69 67 8c 69 67 8c 
[08:50:32] 46 82 ec 82 de cb 88 e4 69 67 8c 69 67 8c 69 67 8c 69 67 8c 
[08:50:32] 46 82 c8 82 a8 cb 88 e5 69 67 8b 69 67 8b 6a 68 8a 6b 69 8a 
[08:50:32] 46 82 86 82 65 cb 88 e6 6c 6a 8a 6d 6b 8a 6e 6c 8a 6f 6c 8a 
[08:50:32] 46 82 4a 82 37 cb 88 e7 70 6c 8a 70 6c 89 6f 6d 89 6e 6d 89 
[08:50:32] 46 82 28 82 19 cb 88 e8 6c 6c 89 6a 6b 89 68 69 8a 67 67 8b 
[08:50:32] 46 82 08 81 f3 cb 88 e9 66 65 8b 66 63 8b 67 62 8b 68 61 8b 
[08:50:32] 46 81 da 81 be cb 88 ea 69 61 8b 69 62 8b 69 64 8b 6a 65 8b 
[08:50:32] 46 81 a3 81 8e cb 88 eb 6b 66 8b 6c 67 8b 6d 69 8a 6d 6a 8a 
